linear_rising;linear_falling;exp_rising;exp_falling
1.7676767676767677;0.8560606060606061;1.6586317722681359;0.6923416615651464
1.8080808080808082;0.8484848484848485;1.6978879706152432;0.6777114580144883
1.8484848484848486;0.8409090909090909;1.737603305785124;0.6632374885215795
1.8888888888888888;0.8333333333333333;1.7777777777777781;0.6489197530864198
1.9292929292929295;0.8257575757575757;1.8184113865932052;0.6347582517090092
1.9696969696969697;0.8181818181818181;1.8595041322314052;0.620752984389348
2.0101010101010104;0.8106060606060606;1.9010560146923787;0.606903951127436
2.0505050505050506;0.803030303030303;1.9430670339761251;0.5932111519232731
2.090909090909091;0.7954545454545454;1.9855371900826448;0.5796745867768595
2.1313131313131315;0.7878787878787878;2.028466483011938;0.5662942556881951
2.1717171717171717;0.7803030303030303;2.071854912764004;0.5530701586572799
2.212121212121212;0.7727272727272727;2.115702479338843;0.5400022956841138
2.2525252525252526;0.7651515151515151;2.1600091827364554;0.5270906667686971
2.2929292929292933;0.7575757575757576;2.204775022956841;0.5143352719110295
2.3333333333333335;0.75;2.25;0.5017361111111112
2.3737373737373737;0.7424242424242424;2.295684113865932;0.489293184368942
2.4141414141414144;0.7348484848484849;2.341827364554637;0.47700649168452214
2.4545454545454546;0.7272727272727273;2.3884297520661155;0.4648760330578513
2.494949494949495;0.7196969696969697;2.4354912764003673;0.45290180848892975
2.5353535353535355;0.7121212121212122;2.483011937557392;0.44108381797775736
2.575757575757576;0.7045454545454546;2.53099173553719;0.4294220615243342
2.6161616161616164;0.696969696969697;2.579430670339761;0.4179165391286603
2.6565656565656566;0.6893939393939394;2.628328741965105;0.4065672507907357
2.6969696969696972;0.6818181818181819;2.6776859504132227;0.39537419651056016
2.7373737373737375;0.6742424242424243;2.7275022956841135;0.38433737628813397
2.7777777777777777;0.6666666666666666;2.777777777777778;0.37345679012345684
2.8181818181818183;0.6590909090909091;2.828512396694215;0.36273243801652894
2.858585858585859;0.6515151515151515;2.8797061524334255;0.35216431996735026
2.8989898989898992;0.6439393939393939;2.931359044995409;0.34175243597592075
2.9393939393939394;0.6363636363636364;2.9834710743801653;0.33149678604224064
2.97979797979798;0.6287878787878788;3.0360422405876952;0.3213973701663096
3.0202020202020203;0.6212121212121212;3.089072543617998;0.3114541883481278
3.060606060606061;0.6136363636363636;3.1425619834710745;0.30166724058769523
3.101010101010101;0.6060606060606061;3.1965105601469235;0.29203652688501175
3.1414141414141414;0.5984848484848484;3.250918273645547;0.28256204724007755
3.181818181818182;0.5909090909090908;3.3057851239669427;0.2732438016528925
3.2222222222222223;0.5833333333333333;3.3611111111111116;0.26408179012345673
3.262626262626263;0.5757575757575757;3.416896235078054;0.25507601265177027
3.303030303030303;0.5681818181818181;3.473140495867769;0.24622646923783287
3.3434343434343434;0.5606060606060606;3.5298438934802574;0.2375331598816447
3.383838383838384;0.553030303030303;3.587006427915519;0.22899608458320586
3.4242424242424243;0.5454545454545454;3.6446280991735542;0.2206152433425161
3.464646464646465;0.5378787878787878;3.702708907254362;0.21239063615957554
3.505050505050505;0.5303030303030303;3.7612488521579435;0.20432226303438422
3.545454545454546;0.5227272727272727;3.8202479338842976;0.19641012396694219
3.585858585858586;0.5151515151515151;3.879706152433425;0.1886542189572493
3.6262626262626263;0.5075757575757576;3.939623507805326;0.18105454800530557
3.666666666666667;0.5;4.0;0.17361111111111116
3.707070707070707;0.49242424242424243;4.060835629017447;0.1663239082746659
3.747474747474748;0.48484848484848486;4.122130394857668;0.1591929394959698
3.787878787878788;0.4772727272727273;4.183884297520661;0.15221820477502296
3.8282828282828287;0.4696969696969697;4.246097337006428;0.14539970411182537
3.868686868686869;0.46212121212121215;4.308769513314967;0.13873743750637693
3.909090909090909;0.4545454545454546;4.37190082644628;0.1322314049586777
3.94949494949495;0.4469696969696969;4.435491276400369;0.12588160646872767
3.98989898989899;0.43939393939393934;4.499540863177226;0.11968804203652693
4.030303030303031;0.43181818181818177;4.564049586776861;0.11365071166207533
4.070707070707071;0.4242424242424242;4.6290174471992644;0.10776961534537292
4.111111111111111;0.41666666666666663;4.6944444444444455;0.10204475308641973
4.151515151515152;0.40909090909090906;4.760330578512396;0.09647612488521583
4.191919191919192;0.4015151515151515;4.826675849403124;0.09106373074176106
4.232323232323233;0.3939393939393939;4.89348025711662;0.0858075706560555
4.272727272727273;0.38636363636363635;4.960743801652893;0.08070764462809922
4.313131313131313;0.3787878787878788;5.028466483011937;0.07576395265789208
4.353535353535354;0.3712121212121212;5.096648301193757;0.07097649474543415
4.3939393939393945;0.36363636363636365;5.165289256198346;0.06634527089072544
4.434343434343434;0.3560606060606061;5.234389348025712;0.06187028109376598
4.474747474747475;0.3484848484848485;5.3039485766758485;0.05755152535455568
4.515151515151516;0.34090909090909094;5.373966942148761;0.05338900367309459
4.555555555555555;0.33333333333333326;5.4444444444444455;0.04938271604938271
4.595959595959597;0.3257575757575757;5.515381083562902;0.04553266248342009
4.636363636363637;0.3181818181818181;5.586776859504133;0.041838842975206625
4.6767676767676765;0.31060606060606055;5.658631772268136;0.03830125752474238
4.717171717171718;0.303030303030303;5.730945821854913;0.034919906132027334
4.757575757575758;0.2954545454545454;5.803719008264463;0.03169478879706155
4.7979797979797985;0.28787878787878785;5.8769513314967865;0.028625905519844924
4.838383838383839;0.2803030303030303;5.950642791551883;0.025713256300377515
4.878787878787879;0.2727272727272727;6.024793388429752;0.022956841138659347
4.91919191919192;0.26515151515151514;6.099403122130395;0.020356660034690353
4.95959595959596;0.25757575757575757;6.174471992653811;0.017912712988470574
5.0;0.25;6.25;0.015625
