"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"Domotec AG","HPSU CU 504/04-P","127","176","A+++","A++","air-water","","5.46","","","","3.66","2.82","1.32","","","yes","","58","","R32","195","79","79","74","96","39","CH-HP-00841","https://domotec.ch/"
"Domotec AG","HPSU CU 508/06-P","127","176","A+++","A++","air-water","","6.17","","","","3.55","2.8","1.39","","","yes","","60","","R32","195","79","79","74","96","39","CH-HP-00841","https://domotec.ch/"
"Domotec AG","HPSU BU 04","127","176","A+++","A++","air-water","","5.46","","","","3.66","2.82","1.32","","","yes","","58","","R32","84","44","39","74","96","39","","https://domotec.ch/"
"Domotec AG","HPSU BU 06","127","176","A+++","A++","air-water","","6.17","","","","3.55","2.8","1.39","","","yes","","60","","R32","84","44","39","74","96","39","","https://domotec.ch/"
"Buderus","LIK 12TU","127","176","A++","A++","air-water","","9.4","","","","4.2","3.2","2.2","","","no","","53","50","R410A","195","96","78","","","","CH-HP-00290","https://www.buderus.com"
"Buderus","WLW196i.2 8kW IR","139","176","A+++","A++","air-water","","10.7","","","","4.2","2.6","2.1","","","yes","","36","48","R410A","151","93","47","","","","CH-HP-00666","https://www.buderus.com"
"Stiebel Eltron AG","WPL 09 IKCS classic","128","175","A++","A++","air-water","","2.62","","","","3.76","2.64","2.11","","","yes","","","32","R410A","189","89","83","","","","CH-HP-00807","https://www.stiebel-eltron.ch"
"Ochsner Wärmepumpen GmbH","OCHSNER AIR HAWK 208","140","175","A+++","A++","air-water","","2.49","","","","4.22","3.1","","","","yes","","45","43","R513A","129","60","68","126","129","97","CH-HP-00872","https://www.ochsner.com"
"Stiebel Eltron AG","WPL-S 18 HK 400 Premium","138","174","A++","A++","air-water","","21.8","","","","4.2","3.4","2.47","","","no","","58","56","R407C","115","60","65","108","222","96","CH-HP-00655","https://www.stiebel-eltron.ch"
"CTA AG","Aeroheat Inverta AH CI 12is","132","174","A++","A++","air-water","","6.5","","","","3.9","2.6","1.8","","","yes","","44","55","R410A","188","85","82","","","","CH-HP-00792","http://www.cta.ch"
"CTA AG","Aeroheat Inverta AH CI 12i","132","174","A++","A++","air-water","","6.5","","","","3.9","2.6","1.8","","","yes","","44","55","R410A","142","85","82","","","","CH-HP-00792","http://www.cta.ch"
"CTA AG","Aeroheat Inverta AH CI 12a","132","174","A++","A++","air-water","","6.5","","","","3.9","2.6","1.8","","","yes","","53","","R410A","","","","148","85","74","CH-HP-00792","http://www.cta.ch"
"Vaillant GmbH","flexoTHERM exclusive VWF 157/4","131","173","A+++","A++","air-water","","13.9","","","","4.1","3.3","2.3","","","no","","53","48","R410A","118","60","60","126","79","120","CH-HP-00591","http://www.vaillant.com"
"Vaillant GmbH","aroTHERM VWL 125/5 AS","131","173","A+++","A++","air-water","","8.3","","","","3.7","2.8","2","","","yes","4.5","60","45","R410A","","","","157","110","45","CH-HP-00812","http://www.vaillant.com"
"Vaillant GmbH","aroTHERM VWL 55/5 AS","134","172","A+++","A++","air-water","","3.5","","","","3.8","2.7","2","","","no","4.5","54","41","R410A","","","","77","110","45","CH-HP-00787","http://www.vaillant.com"
"Buderus","LA 9S-TU","125","172","A++","A++","air-water","","7.2","","","","4.2","3.1","2.1","","","no","","53","","R410A","165","91","75","","","","CH-HP-00598","https://www.buderus.com"
"Vaillant GmbH","aroTHERM VWL 75/5 AS","131","171","A+++","A++","air-water","","4.6","","","","3.8","2.7","2","","","yes","4.5","54","43","R410A","","","","97","110","45","CH-HP-00787","http://www.vaillant.com"
"Ochsner Wärmepumpen GmbH","OCHSNER AIR 23","133","171","A++","A++","air-water","","17.2","","","","4.2","3.38","2.45","","","no","","54","49","R407C","129","60","68","100","222","96","CH-HP-00606","https://www.ochsner.com"
"Vaillant GmbH","flexoTHERM exclusive VWF 57/4","128","170","A++","A++","air-water","","5.6","","","","4.1","3.1","2.3","","","no","","43","42","R410A","118","60","60","126","79","120","CH-HP-00591","http://www.vaillant.com"
"Stiebel Eltron AG","WPL-S 25 HK 400 Premium","136","170","A++","A++","air-water","","30.3","","","","4.1","3.47","2.4","","","no","","61","56","R407C","115","60","65","108","222","96","CH-HP-00655","https://www.stiebel-eltron.ch"
"Vaillant GmbH","geoTHERM perform VWS 780/3","126","170","A++","A++","earth-water","","","77.5","","","","","","4.4","2.8","no","","","60","R410 A","189","68","70","","","","CH-HP-00998","http://www.vaillant.com"
"Stiebel Eltron AG","WPL 17 ICS classic","129","167","A++","A++","air-water","","5.02","","","","3.83","2.58","1.99","","","yes","","","48","R410A","138","87","87","","","","CH-HP-00807","https://www.stiebel-eltron.ch"
"Buderus","LA12S-TU","125","167","A++","A++","air-water","","9.5","","","","4","3","1.88","","","no","","54","","R410A","165","91","75","","","","CH-HP-00598","https://www.buderus.com"
"Vaillant GmbH","flexoTHERM exclusive VWF 87/4","129","165","A++","A++","air-water","","7.8","","","","3.9","3.2","2.3","","","no","","51","43","R410A","118","60","60","126","79","120","CH-HP-00591","http://www.vaillant.com"
"Vaillant GmbH","versoTHERM VWL 77/5","130","165","A+++","A++","air-water","","4.1","","","","4","2.6","2","","","yes","4.2","48","47","R410A","190","80","75","","","","CH-HP-00814","http://www.vaillant.com"
"CTA AG","Aeroheat Inverta AH CI 1-16a","133","165","A++","A++","air-water","","8.1","","","","4.2","3.31","2.41","","","yes","","60","","R410A","","","","178","163","105","CH-HP-00581","http://www.cta.ch"
"CTA AG","Aeroheat Inverta AH CI 1-16i","133","165","A++","A++","air-water","","8.1","","","","4.2","3.31","2.41","","","yes","","60","57","R410A","178","92","112","","","","CH-HP-00581","http://www.cta.ch"
"CTA AG","Aeroheat Inverta AH CI 1-16i-L","133","165","A++","A++","air-water","","8.1","","","","4.2","3.31","2.41","","","yes","","60","57","R410A","178","92","112","","","","CH-HP-00581","http://www.cta.ch"
"CTA AG","Aeroheat AH CN 5a","125","163","A++","A++","air-water","","5.6","","","","3.8","3.1","1.9","","","no","","57","44","R290","93","132","51","","","","CH-HP-00309","http://www.cta.ch"
"Ochsner Wärmepumpen GmbH","OCHSNER AIR 11","126","163","A++","A++","air-water","","8.8","","","","4","2.91","2.5","","","no","","50","44","R407C","129","60","68","110","129","96","CH-HP-00606","https://www.ochsner.com"
"Vaillant GmbH","flexoTHERM exclusive VWF 117/4","124","162","A++","A++","air-water","","10.3","","","","3.9","3.2","2.2","","","no","","56","46","R410A","118","60","60","126","79","120","CH-HP-00591","http://www.vaillant.com"
"Stiebel Eltron AG","WPL 17 IKCS classic","126","162","A++","A++","air-water","","4.95","","","","3.7","2.51","1.94","","","yes","","","44","R410A","189","89","83","","","","CH-HP-00807","https://www.stiebel-eltron.ch"
"Stiebel Eltron AG","WPL 15 ACS","127","159","A++","A++","air-water","","4.23","","","","3.88","2.7","2.1","","","yes","","50","","R410A","","","","90","127","59","CH-HP-00465","https://www.stiebel-eltron.ch"
"Vaillant GmbH","flexoTHERM exclusive VWF 197/4","126","158","A++","A++","air-water","","17.4","","","","3.7","3.2","2.3","","","no","","56","46","R410A","118","60","60","126","79","120","CH-HP-00591","http://www.vaillant.com"
"CTA AG","Aeroheat CS 1-14i","126","158","A++","A++","air-water","","13.8","","","","3.7","3.5","2","","","no","","56","58","R407C","178","910","110","","","","CH-HP-00159","http://www.cta.ch"
"CTA AG","Aeroheat CS 1-14a","126","158","A++","A++","air-water","","13.8","","","","3.7","3.2","2","","","no","","58","","R407C","178","163","105","","","","CH-HP-00158","http://www.cta.ch"
"CTA AG","Aeroheat AH CN 7a","127","158","A++","A++","air-water","","7.7","","","","3.8","3.1","1.9","","","no","","57","44","R290","93","132","51","","","","CH-HP-00309","http://www.cta.ch"
"Buderus","LA 35TBS","125","152","A++","A++","air-water","","23.7","","","","3.4","3.1","2.3","","","no","","61","","R407C","182","107","77","","","","CH-HP-00944","https://www.buderus.com"
"CTA AG","Aeroheat AH CN 9a","126","150","A++","A++","air-water","","9","","","","3.6","3.1","1.9","","","no","","62","44","R290","93","132","51","","","","CH-HP-00309","http://www.cta.ch"
