"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"Swisstherm AG","AWI 16 Dynamic","140","191","A++","A++","air-water","","15","","","","4.21","4.91","3.05","","","yes","","54.8","51","R410A","177","105","77","","","","CH-HP-00837","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","AWI 16 Dynamic AC","140","191","A++","A++","air-water","","15","","","","4.21","4.91","3.05","","","yes","","54.8","51","R410A","177","105","77","","","","CH-HP-00837","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","AWX 8 Dynamic AC","138","191","A++","A++","air-water","","8","","","","4.11","2.82","2.03","","","yes","","47.9","","R410A","","","","114","143","68","CH-HP-00875","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Buderus","SI 6TU","134","191","A+++","A++","earth-water","","","6.1","","","","","","4.7","2.8","no","","","46","R410A","85","65","57","","","","CH-HP-00356","https://www.buderus.com"
"Buderus","WLW196i.2-14kW AR","142","191","A+++","A++","air-water","","14.4","","","","4.04","2.55","1.92","","","yes","","53","41","R410A","","","","170","112","55","CH-HP-00665","https://www.buderus.com"
"Buderus","WPS 48.2 HT","156","191","A+++","A+++","earth-water","","","47.3","","","","","","4.33","3.07","no","5.04","","54","R410A","162","70","77","","","","CH-HP-00862","https://www.buderus.com"
"CTA AG","Optiheat OH 1-8es","131","191","A+++","A++","earth-water","","","7.7","","","","","","4.5","2.7","no","4.8","","28","R410A","126","53","70","","","","CH-HP-00337","http://www.cta.ch/de-ch/waerme/sole-wasser/1218/?oid=1589&lang=de"
"Hoval AG","Thermalia comfort (17)","140","190","A+++","A++","earth-water","","","17.2","","","","","","4.72","3.01","no","","","46","R410A","122","60","72","","","","CH-HP-00577","http://www.hoval.com"
"CTA AG","Optiheat OH 1-11es","129","190","A+++","A++","earth-water","","","10.6","","","","","","4.7","2.8","no","4.96","","28","R410A","126","53","70","","","","CH-HP-00337","http://www.cta.ch"
"CTA AG","Optiheat OH 1-14es","128","190","A+++","A++","earth-water","","","13.8","","","","","","4.7","2.8","no","4.96","","32","R410A","126","53","70","","","","CH-HP-00337","http://www.cta.ch"
"CTA AG","Optiheat OH 22e DUO HT","131","190","A+++","A++","earth-water","","","20.8","","","","","","4.7","2.9","no","4.95","","35","R410A","124","118","76","","","","CH-HP-00549","http://www.cta.ch"
"Domotec AG","HPSU HT-CU 14-DB","142","190","A+++","A++","air-water","","9.91","","","","4.09","3.06","2.29","","","yes","","54","","R32","190","79","79","101","127","54","011-1WO353 DIN CERTCO","https://domotec.ch/"
"Domotec AG","HPSU HT-CU 16-DB","142","190","A+++","A++","air-water","","11.33","","","","4.09","3.06","2.29","","","yes","","54","","R32","190","79","79","101","127","54","011-1WO358 DIN CERTCO","https://domotec.ch/"
