Distributors,Address,zipcode,lat,long,operating radius,operating districts,workforce,max_installations
ait-deutschland GmbH,"95359 Kasendorf, Germany",95359,50.04048915,11.344080993371318,150.0,KulmbachLand;Bayreuth;LichtenfelsLand;KronachLand;Bamberg;SonnebergLand;Coburg;Wunsiedeli.Fichtelgebirge;ForchheimLand;Hof;Erlangen;HildburghausenLand;SchweinfurtLandLand;TirschenreuthLand;Fuerth,10.0,500.0
Alb Kältetechnik GmbH,"72336 Balingen, Germany",72336,48.265537174370785,8.862248307617705,150.0,RottweilLand;TuebingenLand;SigmaringenLand;ReutlingenLand;TuttlingenLand;FreudenstadtLand;BoeblingenLand;CalwLand;EsslingenLand;StuttgartLandeshauptstadt;BiberachLand;RavensburgLand;GoeppingenLand;LudwigsburgLand;EmmendingenLand,10.0,500.0
ALBAN technische Anlagen GmbH,"35321 Laubach, Germany",35321,50.5347468,9.01147172266039,150.0,Marburg_BiedenkopfLand;FuldaLand;FrankfurtOderStadt;OffenbachLand;Aschaffenburg;Limburg_WeilburgLand;Waldeck_FrankenbergLand;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;Rhein_Hunsrueck_Land;MainzStadt;Darmstadt_DieburgLand;Siegen_Wittgenstein;AltenkirchenWesterwald;MiltenbergLand,10.0,500.0
Alfons Weber GmbH,"40489 Düsseldorf, Germany",40489,51.316168450149505,6.7557082251316976,150.0,DuesseldorfStadt;DuisburgStadt;KrefeldStadt;Rhein_Neuss;OberhausenStadt;Mettmann;EssenStadt;BottropStadt;MuelheimanderRuhrStadt;MoenchengladbachStadt;Viersen;GelsenkirchenStadt;BochumStadt;SolingenStadt;LeverkusenStadt,10.0,500.0
Alois Mehlhart GmbH,"83209 Prien am Chiemsee, Germany",83209,47.8554814,12.380791069659253,150.0,Rosenheim;TraunsteinLand;EbersbergLand;MiesbachLand;AltoettingLand;ErdingLand;VerdenLand;BerchtesgadenerLandLand;UnterallgaeuLand;LandshutLandLand;BergstraßeLand;StarnbergLand;Weilheim_SchongauLand;DachauLand;Garmisch_PartenkirchenLand,10.0,500.0
Alois Simon GmbH,"66424 Homburg, Germany",66424,49.323684325409424,7.334715405797603,150.0,ZweibrueckenStadt;NeunkirchenLand;Saarpfalz_Land;PirmasensStadt;DonnersbergLand;KaiserslauternLand;KuselLand;Dillingena.d.DonauLand;SaarlouisLand;Merzig_WadernLand;LandauinderPfalzStadt;Alzey_WormsLand;LudwigshafenamRheinStadt;MannheimUniversitaetsstadt;TrierStadt,10.0,500.0
Aloys Steffes Sanitär-Installation GmbH,"53859 Niederkassel-Mondorf, Germany",53859,50.80803430735835,7.040302179608008,150.0,BonnStadt;Rhein_Sieg_;KoelnStadt;LeverkusenStadt;GrafschaftBentheimLand;Euskirchen;SolingenStadt;AltenkirchenWesterwald;Rhein_Erft_;RemscheidStadt;Mettmann;Oberbergischer;Rhein_Neuss;DuesseldorfStadt;WuppertalStadt,10.0,500.0
Alternative Energie Mielke,"25358 Horst (Holstein), Germany",25358,53.810221578643805,9.620523350291313,150.0,Steinburg;Pinneberg;HamburgBundesland;NeumuensterStadt;Segeberg;Dithmarschen;Rendsburg_Eckernfoerde;CuxhavenLand;KielLandeshauptstadt;Ploen;StadeLand;Ostholstein;LueneburgLand;HerzogtumLauenburg;Nordfriesland,10.0,500.0
Alternative Technik Scherf GmbH,"03229 Altdöbern, Germany",3229,51.66249615,14.029420997980782,150.0,CottbusStadt;MeißenLand;DresdenStadt;Teltow_FlaemingLand;BerlinBundesland;BarnimLand;BautzenLand;OberhavelLand;Potsdam_MittelmarkLand,10.0,500.0
Jan Anders Bad & Heizungsbau - Meisterbetrieb,"02956 Rietschen, Germany",2956,51.394180884409245,14.786110263054482,150.0,GoerlitzLand;BautzenLand;CottbusStadt;SaechsischeSchweiz_Osterz;DresdenStadt,10.0,500.0
Andre Weick Innovative Haus und Umwelttechnik GmbH,"69168 Wiesloch, Germany",69168,49.294623568255616,8.698198357308664,150.0,HeidelbergStadtStadt;SpeyerStadt;MannheimUniversitaetsstadt;LudwigshafenamRheinStadt;GermersheimLand;KarlsruheLandLand;Main_Tauber_Land;HeilbronnStadtStadt;NeustadtanderWeinstraße;Dingolfing_LandauLand;Alzey_WormsLand;Darmstadt_DieburgLand;BirkenfeldLand;RastattLand;PforzheimStadtStadt,10.0,500.0
Andreas Krüger GmbH,"78224 Singen, Germany",78224,47.76204189826086,8.853457189848971,150.0,KonstanzLand;TuttlingenLand;SigmaringenLand;RottweilLand;RavensburgLand;LindauBodenseeLand;BiberachLand;EnzLand;FreudenstadtLand;EmmendingenLand;LoerrachLand;TuebingenLand;BoeblingenLand;ReutlingenLand;CalwLand,10.0,500.0
Andreas Rudolf Meisterbetrieb,"95445 Bayreuth, Germany",95445,49.95078262132679,11.558401273473525,150.0,BayreuthLandLand;KulmbachLand;KronachLand;Wunsiedeli.Fichtelgebirge;Hof;BambergLandLand;LichtenfelsLand;TirschenreuthLand;SonnebergLand;Coburg;Amberg_SulzbachLand;ForchheimLand;Schwabach;Erlangen_HoechstadtLand;Neumarkti.d.OPf.Land,10.0,500.0
Anspach Sanitärservice,"56073 Koblenz, Germany",56073,50.344407753394925,7.5611418389302525,150.0,Mayen_KoblenzLand;NeuwiedLand;Limburg_WeilburgLand;Cochem_ZellLand;AltenkirchenWesterwald;GrafschaftBentheimLand;Rhein_Sieg_;BonnStadt;Euskirchen;Bernkastel_WittlichLand;MainzStadt;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;KoelnStadt;Siegen_Wittgenstein,10.0,500.0
API Energie- und Versorgungstechnik GmbH,"82166 Gräfelfing, Germany",82166,48.1221494,11.435932660256775,150.0,Nuernberg;FuerstenfeldbruckLand;StarnbergLand;BergstraßeLand;DachauLand;LandsbergamLechLand;Weilheim_SchongauLand;FreisingLand;MiesbachLand;Aichach_FriedbergLand;Pfaffenhofena.d.IlmLand;EbersbergLand;Augsburg;ErdingLand;Kaufbeuren,10.0,500.0
